2025-07-11 22:16:27.458 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 22:16:27.460 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 22:16:29.818 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 2.479 seconds (process running for 2269.327)
2025-07-11 22:20:19.260 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 22:20:19.262 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 22:20:22.519 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 3.36 seconds (process running for 2502.028)
2025-07-11 22:23:53.458 [http-nio-8080-exec-7] INFO  c.e.g.controller.AuthController - >>>>>>>>>>>>>>>>>>>>>Email: tienanh2003k@gmail.com
2025-07-11 22:25:33.690 [http-nio-8080-exec-3] INFO  c.e.g.s.i.AuthenticationServiceImpl - User tienanh2003k@gmail.com logged in successfully
2025-07-11 22:31:43.778 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 22:31:43.780 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 22:31:46.899 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 3.283 seconds (process running for 3186.411)
2025-07-11 22:55:32.582 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 22:55:32.589 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 22:55:36.346 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 4.098 seconds (process running for 4615.857)
2025-07-11 23:20:14.194 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:20:14.196 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:20:17.028 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 3.132 seconds (process running for 6096.537)
2025-07-11 23:28:56.144 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:28:56.147 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:28:58.881 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 2.938 seconds (process running for 6618.394)
2025-07-11 23:30:00.654 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:30:00.656 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:30:02.971 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 2.501 seconds (process running for 6682.481)
2025-07-11 23:30:19.988 [http-nio-8080-exec-10] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:30:55.853 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:30:55.853 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:30:58.999 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 3.184 seconds (process running for 6738.509)
2025-07-11 23:31:00.677 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:31:00.677 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:31:02.420 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 1.791 seconds (process running for 6741.929)
2025-07-11 23:31:08.473 [http-nio-8080-exec-1] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:31:10.600 [http-nio-8080-exec-3] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:31:10.910 [http-nio-8080-exec-2] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:31:11.078 [http-nio-8080-exec-4] INFO  c.e.g.controller.AuthController - Reset token from cookie: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ0aWVuYW5oMjAwM2tAZ21haWwuY29tIiwiaWF0IjoxNzUyMjQ5NjE4LCJleHAiOjE3NTIyNTEwNTh9.A_kzk-R-CGg37WW1S3eXx5r_fBI-8h1AsOdiJfNmYAI
2025-07-11 23:31:45.108 [restartedMain] INFO  c.e.graduate.GraduateApplication - Starting GraduateApplication using Java 17.0.13 with PID 14312 (D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server\target\classes started by Admin in D:\NTASPORT\JAVA-PROJECT\SpringBoot\graduation-manager\server)
2025-07-11 23:31:45.109 [restartedMain] INFO  c.e.graduate.GraduateApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-11 23:31:46.931 [restartedMain] INFO  c.e.graduate.GraduateApplication - Started GraduateApplication in 1.844 seconds (process running for 6786.442)
